dispatching_base_number,date,active_vehicles,trips,Day,Month,Weekday,Trips_per_Vehicle
B02598,2015-02-26,1134,10661,26,February,Thursday,9.401234567901234
B02617,2015-02-26,1539,14461,26,February,Thursday,9.396361273554255
B02682,2015-02-26,1465,13814,26,February,Thursday,9.429351535836178
B02512,2015-02-26,243,1797,26,February,Thursday,7.395061728395062
B02765,2015-02-26,745,6744,26,February,Thursday,9.052348993288591
B02764,2015-02-26,4101,36091,26,February,Thursday,8.800536454523288
B02765,2015-02-27,786,7563,27,February,Friday,9.622137404580153
B02617,2015-02-27,1551,14677,27,February,Friday,9.462927143778208
B02598,2015-02-27,1114,10755,27,February,Friday,9.654398563734292
B02512,2015-02-27,272,2056,27,February,Friday,7.5588235294117645
B02764,2015-02-27,4253,38780,27,February,Friday,9.118269456853985
B02682,2015-02-27,1510,14975,27,February,Friday,9.917218543046358
B02598,2015-02-28,994,10319,28,February,Saturday,10.38128772635815
B02764,2015-02-28,3952,39812,28,February,Saturday,10.073886639676113
B02617,2015-02-28,1372,14022,28,February,Saturday,10.220116618075801
B02682,2015-02-28,1386,14472,28,February,Saturday,10.441558441558442
B02512,2015-02-28,230,1803,28,February,Saturday,7.839130434782609
B02765,2015-02-28,747,7753,28,February,Saturday,10.378848728246318
